epoch,train_loss,train_tumor_accuracy,validation_loss,validation_tumor_accuracy,learning_rate
1,0.6902774698202107,0.494126023495906,0.6918558022904634,0.5,0.001
2,0.676762367364307,0.5827696689213243,0.6499161431163648,0.6661129568106312,0.001
3,0.6349729729657837,0.6400854396582414,0.6050936193561237,0.7026578073089701,0.001
4,0.5970016530545508,0.6799572801708793,0.5954787473741956,0.6611295681063123,0.001
5,0.583917604769282,0.6988252046991812,0.5858542596382952,0.6910299003322259,0.001
6,0.5804924619668911,0.6977572089711641,0.6284627658980233,0.6129568106312292,0.001
7,0.566252009369547,0.7112851548593806,0.6578109434672764,0.6179401993355482,0.001
8,0.5649922892435372,0.7052331790672838,0.5649503522933124,0.7142857142857143,0.001
9,0.5603902992000356,0.7070131719473122,0.5656834948696567,0.6993355481727574,0.001
10,0.5523115604659679,0.7144891420434318,0.6130201203680514,0.6428571428571429,0.001
