epoch,train_loss,train_tumor_loss,train_integrity_loss,train_tumor_accuracy,train_integrity_accuracy,validation_loss,validation_tumor_loss,validation_integrity_loss,validation_tumor_accuracy,validation_integrity_accuracy,learning_rate
1,0.8578540213212461,0.1558729324658259,0.7019810879217768,0.9442862228551085,0.5144179423282307,0.8862791689131347,0.19363680110619313,0.6926423586484206,0.9219269102990033,0.5232558139534884,0.001
2,0.8459241229386973,0.15615776617805405,0.6897663557898663,0.9433962264150944,0.5306158775364899,0.8761750612148019,0.19363680110619313,0.6825382604551474,0.9219269102990033,0.5548172757475083,0.001
3,0.8318319232406969,0.15363917815681027,0.678192745688633,0.9448202207191171,0.5640797436810253,0.8650206636352793,0.19363680110619313,0.6713838565389183,0.9219269102990033,0.5705980066445183,0.001
4,0.809489631321813,0.15542184789862315,0.6540677810572525,0.9455322178711285,0.6051975792096832,0.8381289111023329,0.19363680110619313,0.6444921008376188,0.9219269102990033,0.6079734219269103,0.001
5,0.7517807456300368,0.15283282764783826,0.5989479161997884,0.946066215735137,0.686187255250979,0.8110598147509502,0.19363680110619313,0.6174230155754723,0.9219269102990033,0.6935215946843853,0.001
6,0.660981861753114,0.15395288314204827,0.5070289784413125,0.9423282306870773,0.7609469562121751,0.7651552702501366,0.19363680110619313,0.5715184691934491,0.9219269102990033,0.71843853820598,0.001
7,0.6136655353404907,0.1564714609674815,0.4571940696252203,0.946066215735137,0.7862228551085796,0.7271129134485492,0.19363680110619313,0.5334761139760382,0.9219269102990033,0.7275747508305648,0.001
8,0.5682060098300077,0.1589575569139082,0.4092484529160995,0.9437522249911,0.8148807404770381,0.6832021956031901,0.19363680110619313,0.48956539137814925,0.9219269102990033,0.7699335548172758,0.001
9,0.546557209210788,0.15447553274002565,0.39208167529309845,0.9428622285510858,0.8236027055891777,0.6671843722809193,0.19363680110619313,0.47354757280840826,0.9219269102990033,0.770764119601329,0.001
10,0.5368910409581751,0.15475075406275343,0.38214028697499347,0.9435742257030972,0.8339266642933428,0.6738532906354859,0.19363680110619313,0.4802164914600081,0.9219269102990033,0.7599667774086378,0.001
